A,B,C,D,E,F,H,J,M
55,Georgia,7.0,1,1,1,1,1,1,1
56,Germany,5.0,1,1,0,1,1,0,0
57,Ghana,4.0,1,1,0,1,1,0,0
58,Greece,3.0,1,1,0,1,1,0,0
59,Grenada,4.5,1,0,0,1,1,0,0
60,Guatemala,5.0,1,1,0,1,1,1,0
61,Guinea,4.5,1,0,0,1,1,0,0
62,Guinea-Bissau,3.0,1,1,0,1,1,0,0
63,Haiti,3.5,1,0,0,1,1,0,0
64,Honduras,6.0,1,1,0,1,1,1,0
65,"Hong Kong SAR, China",5.5,1,0,0,1,1,1,0
66,Hungary,6.5,1,1,1,1,1,1,0
67,Iceland,7.5,1,1,1,1,1,1,0
68,India - Mumbai,3.5,1,0,0,1,1,1,0
69,Indonesia - Surabaya,7.5,1,1,0,1,1,1,1
70,Iraq,5.0,1,1,0,1,1,0,0
71,Ireland,6.5,1,1,1,1,1,1,0
72,Israel,6.0,1,1,0,1,1,1,0
73,Italy,6.0,1,1,0,1,1,1,0
74,Japan - Osaka,5.0,1,1,0,1,1,0,0
75,Japan - Tokyo,5.0,1,1,0,1,1,0,0
76,Jordan,6.0,1,1,0,1,1,1,0
77,Kazakhstan,7.5,1,0,1,1,1,1,1
78,Kenya,5.0,1,1,0,1,1,1,0
79,Kiribati,6.0,1,1,0,1,1,0,0
80,Kosovo,4.0,1,1,0,1,1,0,0
81,Kuwait,4.5,1,0,0,1,1,0,0
82,Lao PDR,4.0,1,1,0,1,1,0,0
83,Latvia,6.0,1,1,0,1,1,1,0
84,Lebanon,5.0,1,1,0,1,1,1,0
85,Lesotho,3.5,1,0,0,1,1,0,0
86,Liberia,2.5,1,0,1,1,0,0,0
87,Libya,,1,0,0,1,1,0,0
88,Lithuania,8.0,1,1,1,1,1,1,1
89,Luxembourg,6.0,1,1,0,1,1,1,0
90,Madagascar,3.0,1,1,0,1,1,0,0
91,Malawi,5.0,1,1,1,0,1,0,0
92,Malaysia,7.0,1,1,0,1,1,1,0
93,Maldives,4.5,1,0,0,1,1,0,0
94,Mali,4.5,1,1,1,1,1,0,0
95,Malta,3.0,0,1,1,1,1,1,0
96,Mauritania,4.0,1,1,0,1,1,0,0
97,Mauritius,4.5,1,1,1,1,1,0,0
98,Mexico - Monterrey,5.0,1,1,0,1,1,0,0
99,Moldova,5.5,1,1,1,1,1,0,0
100,Mongolia,8.0,1,1,1,1,1,1,1
101,Montenegro,3.5,1,0,0,1,1,0,0
102,Morocco,6.0,1,1,1,1,1,0,1
103,Mozambique,4.0,1,1,0,1,1,1,0
104,Myanmar,3.5,1,0,0,1,1,0,0
105,Namibia,4.5,1,0,0,1,1,1,0
106,Nepal,2.5,1,0,0,1,1,0,0
107,New Zealand,6.0,1,1,0,1,1,1,0
108,Nicaragua,3.5,1,1,1,1,1,0,0
109,Nigeria - Kano,3.0,1,1,0,1,1,0,0
110,Nigeria - Lagos,3.0,1,1,0,1,1,0,0
111,Norway,5.5,0,1,0,1,1,1,0
112,Pakistan - Karachi,3.5,1,0,0,1,1,1,0
113,Pakistan - Lahore,3.5,1,0,0,1,1,1,0
114,Palau,5.0,1,0,0,1,1,0,1
115,Panama,5.0,1,1,0,1,1,1,0
116,Papua New Guinea,2.0,0,0,0,0,0,0,0
117,Paraguay,6.0,1,1,0,1,1,1,0
118,Peru,5.0,1,1,0,1,1,1,0
119,Philippines,4.5,1,1,1,1,1,0,0
120,Poland,5.5,1,1,1,1,1,0,0
121,Portugal,5.5,1,1,1,1,1,1,0
122,Puerto Rico (U.S.),3.5,0,1,0,1,1,1,0
123,Qatar,6.0,1,1,0,1,1,1,0
124,Romania,6.0,1,1,0,1,1,1,0
125,Rwanda,8.0,1,1,1,1,1,1,1
126,Samoa,5.0,1,1,0,1,1,1,0
127,San Marino,6.0,1,1,0,1,1,1,0
128,São Tomé and Príncipe,3.0,1,1,0,1,1,0,0
129,Saudi Arabia,4.5,1,1,0,1,1,1,1
130,Senegal,6.0,1,1,0,1,1,1,0
131,Serbia,5.0,1,1,0,1,1,0,0
132,Seychelles,6.0,1,1,0,1,1,1,0
133,Sierra Leone,3.5,1,0,0,1,1,1,0
134,Singapore,7.0,1,1,1,1,1,1,1
135,Slovenia,5.5,1,1,0,1,1,0,1
136,Solomon Islands,5.5,1,0,1,1,0,0,0
137,Somalia,5.5,1,0,0,1,1,0,0
138,South Africa,4.5,1,0,0,1,1,1,0
139,South Sudan,5.0,1,1,0,1,1,0,0
140,Spain,6.5,1,1,1,1,1,1,0
141,Sri Lanka,1.0,0,0,0,1,1,0,0
142,St. Kitts and Nevis,6.5,1,1,1,1,1,1,0
143,St. Lucia,6.5,1,1,1,1,1,1,0
144,St. Vincent and the Grenadines,5.5,1,0,0,1,1,1,0
145,Sudan,2.5,1,0,0,1,1,0,0
146,Suriname,4.0,1,1,0,1,1,0,0
147,Sweden,7.0,1,1,1,1,1,1,1
148,Switzerland,6.0,1,1,0,1,1,0,0
149,"Taiwan, China",8.0,1,1,1,1,1,1,1
150,Tajikistan,6.5,1,1,1,1,1,0,0
151,Tanzania,5.0,1,1,0,1,1,0,0
152,Thailand,6.5,1,1,0,1,1,1,1
153,"Egypt, Arab Rep.",4.0,1,1,0,1,1,0,0
154,"Bahamas, The",0.5,0,0,0,0,1,0,0
155,Central African Republic,3.0,0,0,0,1,1,0,0
156,Guyana,3.5,1,1,1,1,1,0,0
157,Czech Republic,5.0,1,1,0,1,1,0,0
158,"Congo, Dem. Rep.",5.0,1,1,0,1,1,0,0
159,"Micronesia, Fed. Sts.",,1,0,0,0,1,0,0
160,"Macedonia, FYR",7.0,1,1,1,1,1,1,1
161,"Gambia, The",2.5,0,1,0,1,1,0,0
162,"Iran, Islamic Rep.",4.0,1,1,0,1,1,1,0
163,Kyrgyz Republic,6.5,1,1,1,1,1,0,0
164,Marshall Islands,,0,1,1,1,1,0,0
165,Netherlands,7.5,1,1,1,1,1,1,0
166,"Congo, Rep.",3.5,1,0,0,1,1,0,0
167,"Korea, Rep.",7.0,1,0,1,1,1,1,0
168,"Yemen, Rep.",3.5,1,0,0,1,1,0,0
169,"Venezuela, RB",4.0,1,1,0,1,1,1,0
170,Russian Federation - Saint Petersburg,8.0,1,1,1,1,1,1,1
171,Slovak Republic,6.0,1,1,0,1,1,1,0
172,Syrian Arab Republic,4.0,1,1,0,1,1,0,0
173,Ukraine,6.5,1,1,0,1,1,0,1
174,United Arab Emirates,6.0,1,1,0,1,1,1,0
175,United States - Los Angeles,2.5,0,1,0,1,1,0,0
176,United States - New York City,4.0,0,1,1,1,1,0,0
177,Timor-Leste,,0,0,0,0,0,0,0
178,Togo,4.5,1,1,0,1,1,0,1
179,Tonga,6.0,1,1,0,1,1,1,0
180,Trinidad and Tobago,3.5,1,1,1,1,1,0,0
181,Tunisia,5.0,1,1,0,1,1,0,0
182,Turkey,7.0,1,1,1,1,1,1,1
183,Uganda,4.0,1,1,0,1,1,0,0
184,Uruguay,6.0,1,1,0,1,1,1,0
185,Uzbekistan,7.0,1,1,0,1,1,1,0
186,Vanuatu,4.0,1,1,0,1,1,0,0
187,Vietnam,5.0,1,1,0,1,1,0,0
188,West Bank and Gaza,3.5,1,0,0,1,1,0,0
189,Zambia,5.5,1,1,0,0,1,0,0
190,Zimbabwe,5.0,1,1,0,1,1,0,0
