"indicatorID";"indicatorLabel";"country_iso3";"countryLabel";"year";"value";"note"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SSD";"South Sudan";"2015";"3";"Protected forest & wildlife areas owned collectively by nation (public land), but excludes community forests. Access to PA guaranteed."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SWZ";"Swaziland";"2015";"2";"Other than provision for sanctuaries to be declared, protection is mainly of species of trees, birds, game (Royal Game), but land owners have strong rights. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"TCD";"Chad";"2015";"2";"Communities cannot own classified areas but these may be classified for their benefit. Traditional use rights for subsistence free of charge and without permits. May also establish Community Forests and Wildlife Management Areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"THA";"Thailand";"2015";"4";"The National Reserved Forests Act and the National Parks Act do not explicitly grant indigenous communities rights in Protected Areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"TZA";"Tanzania";"2015";"1";"Reserved Land comprises lands subject to conservation laws, and may be owned by communities where those laws permit, the case with forest law. Wildlife law is less accommodating of customary property rights."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"UGA";"Uganda";"2015";"2";"Although communities may create Community Forests on their own lands, they may not own Central or Local Forest Reserves, Parks and may be prevented from utilization. Significant provision for community wildlife use rights."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"USA";"United States of America";"2015";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ZMB";"Zambia";"2015";"2";"Forests and wildlife are state property but products can be owned by communities for subsistence purposes. No provision for community owned forest reserves but provision for game management areas within community lands and significant empowerment of registered Community Boards. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ZWE";"Zimbabwe";"2015";"2";"Protected Forest Areas on Communal Lands remain communal property and use permits to inhabitants may be issued. National Parks & Reserves are state property often transferred from Communal Land, use subject to permits."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ALA";"Aland Islands";"2016";"2";"Section 18 of the Act on the Autonomy of the Aland Islands provides that ""Aland shall have legislative powers in respect...10) the protection of nature and the environment, the recreational use of nature; water law"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"AUT";"Austria";"2016";"4";"Federal legislation does not explicitly recognize community rights to land in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BEL";"Belgium";"2016";"N/A";"Researcher could not find evidence of ""indigenous"" or ""community"" land in Belgium that falls within LandMark's definition of these terms."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BGD";"Bangladesh";"2016";"4";"Statutory laws are silent on whether communities have rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BGR";"Bulgaria";"2016";"4";"The national level law does not explicitly grant rural communities rights to community forests in Bulgaria. Control and management of community forests is vested in municipalities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BLR";"Belarus";"2016";"4";"The statutory and regulatory framework does not explicitly recognize the land rights of rural communities in Belarus."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"BLZ";"Belize";"2016";"4";"Belize's statutory and regulatory framework does not explicitly recognize community rights to land."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"CHE";"Switzerland";"2016";"4";"State-level (cantonal) laws recognize community rights to ""Group inherited"" forests and common pastures (e.g. Canton Graubünden). However, since LandMark's assessment is limited to national level laws, state-level laws are not assessed. There are no explicit provisions recognizing and protecting community land rights in federal laws."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"CHL";"Chile";"2016";"4";"The law does not explicitly grant agricultural communities rights to land within protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"CHN";"China";"2016";"4";"Chinese legislation does not explicitly grant indigenous/community land rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"CIV";"Ivory Coast";"2016";"3";"While forest law 2014 recognizes forests on customary land as customary property and may create protected areas, land law dictates this cannot be upheld after 2019 unless community has secured formal title. Only domestic use rights available to communities in State Protected Forests."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"COG";"Congo";"2016";"3";"No provision for communities to own Protected Areas and gazettements often extinguish customary rights. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"CRI";"Costa Rica";"2016";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"CUB";"Cuba";"2016";"4";"The law does not explicitly grant communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"CZE";"Czech Republic";"2016";"N/A";"Researcher could not find evidence of ""indigenous"" or ""community"" land in the Czech Republic that falls within LandMark's definition of these terms."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"DEU";"Germany";"2016";"4";"The law does not explicitly provide community rights to forests located within protected areas. The government has authority to designate certain forest areas as ""protected"" and it is unclear whether communities thereafter have rights to those protected areas (Sec. 12, Federal Forest Act)."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"DNK";"Denmark";"2016";"N/A";"Researcher could not find evidence of ""indigenous"" or ""community"" land in Denmark that falls within LandMark's definition of these terms."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ECU";"Ecuador";"2016";"2";"Local authorities must consult indigenous, black and Afro-Ecuadorian peoples before issuing environmental policies and policies for demarcation, management or administration of conservation areas and ecological reserves."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ESP";"Spain";"2016";"4";"According to a secondary source (see comments box), some privately owned forests in Spain are held and managed collectively in practice. However, the national law on Forests (Law No. 43/2004) does not explicitly grant communities rights to forest lands."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"EST";"Estonia";"2016";"N/A";"Researcher could not find evidence of ""indigenous"" or ""community"" land in Estonia that falls within LandMark's definition of these terms."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ETH";"Ethiopia";"2016";"2";"No provision for Protected Areas to be owned by communities except in two States but federal requirement that management plans are developed  with communities and who may utilise by agreement."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"FIN";"Finland";"2016";"2";"Section 18 of the Act on the Autonomy of the Aland Islands provides that ""Aland shall have legislative powers in respect...10) the protection of nature and the environment, the recreational use of nature; water law"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"GAB";"Gabon";"2016";"4";"No rights to own Protected Areas. Use by communities is not permitted in Protected Areas other than by agreement with State agencies."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"GBR";"United Kingdom";"2016";"N/A";"Reviewer could not find evidence of ""indigenous"" or ""community"" land in the United Kingdom-England that falls within LandMark's definition of these terms."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"GHA";"Ghana";"2016";"2";"While Forest Reserves and Protected Areas may be owned by stools (traditional authorities) or private persons, control & management is vested in Forestry Commission or other Government entities with powers that may practically truncate  ownership. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"GMB";"Gambia";"2016";"1";"Communities made party to declaration of Protected Areas. Their rights may be sustained or extinguished on payment of compensation. Communities may manage State Forests and institute, own & manage Community Forests, and co-manage Wildlife Protected Areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"GUF";"French Guiana";"2016";"4";"The statutory and regulatory framework does not recognize the land rights of indigenous and local communities in French Guiana."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"GUY";"Guyana";"2016";"4";"There is no explicit indication in the law that the rights granted by CFMAs do not apply within protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"HND";"Honduras";"2016";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"HTI";"Haiti";"2016";"N/A"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"HUN";"Hungary";"2016";"4";"The statutory and regulator framework does not explicitly recognize the land rights of local communities in Hungary."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"IRL";"Ireland";"2016";"N/A";"Reviewer could not find evidence of ""indigenous"" or ""community"" land in Ireland that falls within LandMark's definition of these terms"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"IRQ";"Iraq";"2016";"4";"The law does not explicitly grant communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ISL";"Iceland";"2016";"N/A";"Research could not find evidence of ""indigenous"" or ""community"" land in Iceland that falls within LandMark's definition of these terms."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ISR";"Israel";"2016";"4";"Israel's laws do not directly uphold community land rights in formally protected areas.  "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ITA";"Italy";"2016";"4";"National-level statutory and regulatory framework does not explicitly recognize the land rights of indigenous or local communities. However, collective property rights of rural communities in Northern Italy are recognized by state-level laws in Trentino."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"JAM";"Jamaica";"2016";"4";"Jamaica's statutory and regulatory frameworks do not recognize the land rights of the Maroons and has not accepted or rejected the treaty between the Maroons and Great Britain"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"JOR";"Jordan";"2016";"4";"The statutory and regulatory framework does not adequately recognize or protect indigenous or community land rights in Jordan."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"KGZ";"Kyrgyzstan";"2016";"4";"The statutory and regulatory framework does not explicitly provide communities the rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"KHM";"Cambodia";"2016";"4";"The law does not explicitly grant communities rights in Protected Areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"LAO";"Lao";"2016";"4";"The law does not explicitly grant communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"LBR";"Liberia";"2016";"3";"Communities are firmly assured ownership and use of forests within customary lands and may create community protected forests but are only consulted in creation and regulation of National Forest and Wildlife Protected Areas, despiteunresolved overlap with customary lands. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"LBY";"Libya";"2016";"4";"Tribes are not recognized land or resource owners. A past right of members of communities who traditionally use forests to continue doing so for non-commercial purposes has been revoked."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"LKA";"Sri Lanka";"2016";"4";"The law is silent on whether communities have legal rights to protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"LTU";"Lithuania";"2016";"N/A";"Researcher could not find evidence of ""indigenous"" or ""community"" land in Lithuania that falls within LandMark's definition of this term."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"LVA";"Latvia";"2016";"4";"The statutory and regulatory framework does not explicitly recognize the land rights of local communities in Latvia."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"MKD";"Macedonia";"2016";"4";"The statutory and regulatory framework does not explicitly recognize community land rights in Macedonia."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"MMR";"Myanmar";"2016";"4";"Myanmar has not yet enacted a law that recognizes community or indigenous land rights."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"MOZ";"Mozambique";"2016";"2";"Communities may create PA governed by customary law and must be involved in state and private conservation initiatives. Constitution directive on community public domain implies separation of conservation status with tenure but undeveloped."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"NGA";"Nigeria";"2016";"4";"Community forests exist in some States, vested in Local Government Authorities. Only in Cross River State are access rights to PA granted to Community Based Forest Management Associations. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"NIC";"Nicaragua";"2016";"2";"The State may designate communal property as protected areas, but indigenous communities may not be evicted from protected areas. While the government retains ultimate control and authority over protected areas, communities retain rights to manage land within protected areas. Article 59 of the 1999 Law on Protected Areas provides that ""in the event that the lands [designated as protected areas] are of indigenous communities, the right of ownership thereof will be respected."""
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"NLD";"Netherlands";"2016";"N/A";"Researcher could not find evidence of ""indigenous"" or ""community"" land in the Netherlands that falls within LandMark's definition of these terms."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"NOR";"Norway";"2016";"4";"The law does not explicitly provide that the rights of bygd commoners extends to protected areas (i.e. national parks)"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"NPL";"Nepal";"2016";"3";"While communities are not granted ownership rights in protected areas, the law provides rights to communities to manage land held within buffer zone areas. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"NZL";"New Zealand";"2016";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"OMN";"Oman";"2016";"4";"There is no explicit legal recognition of land rights held by indigenous peoples and local communities in  Oman"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"PAK";"Pakistan";"2016";"4";"Pakistan's statutory laws do not explicitly recognize whether communities are granted rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"PAN";"Panama";"2016";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"PNG";"Papua New Guinea";"2016";"4";"National Parks Act, 1982 provides for the establishment of reserves, parks, and gardens, but only on state-owned land, and not on customary lands."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"POL";"Poland";"2016";"4";"The national level statutory and regulatory framework does not explicitly recognize the rights of local communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"PRT";"Portugal";"2016";"4";"The law does not explicitly grant local communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"PRY";"Paraguay";"2016";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ROU";"Romania";"2016";"4";"The law does not explicitly grant communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"RUS";"Russia";"2016";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"RWA";"Rwanda";"2016";"3";"Protected Areas cannot be owned by communities, groups or individuals but if form legal entity may manage forest by agreement with Minister."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SAU";"Saudi Arabia";"2016";"4";"Saudi Arabia's statutory and regulatory framework does not explicitly grant communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SGP";"Singapore";"2016";"N/A"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SLE";"Sierra Leone";"2016";"3";"Mixed: for Forest Reserves, provision made for rights to be sustained or compensated for if extinguished, or Community Forests created. Much less provision in wildlife sector, consultation with chiefdom councils only required for Strict Nature Reserves."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SUR";"Suriname";"2016";"4";"Suriname does not have a statutory or regulatory framework that recognizes the land rights of Indigenous Peoples and local communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SVK";"Slovakia";"2016";"4";"The law does not explicitly grant communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SWE";"Sweden";"2016";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"SYR";"Syrian Arab Republic";"2016";"4";"Syria's laws do not explicitly uphold community land rights in formally protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"TJK";"Tajikistan";"2016";"4";"The law does not explicitly grant local communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"TKM";"Turkmenistan";"2016";"4";"Turkmenistan's statutory laws are silent on whether communities have legal rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"TLS";"Timor-Leste";"2016";"2";"The law explicitly allows for communal ownership of protected areas that are not considered part of the public domain of the state. However, the national legislation still misses a clear definition of public domain of the state. Furthermore, the classification as protected area gives the state the right to expropriate the areas. "
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"TUR";"Turkey";"2016";"4";"The law does not explicitly establish that communites have rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"UKR";"Ukraine";"2016";"4";"The law does not explicitly grant communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"URY";"Uruguay";"2016";"4";"The statutory and regulatory framework does not explicitly recognize the land rights of indigenous and local communities in Uruguay."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"UZB";"Uzbekistan";"2016";"4";"The statutory and regulatory legal framework does not explicitly recognize the rights of indigenous and local communities in Uzbekistan"
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"VEN";"Venezuela";"2016";"N/A";"Not applicable: National legislation applies only to Indigenous peoples and not non-indigenous communities."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"VNM";"Vietnam";"2016";"4";"The law does not explicitly grant communities rights in protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"YEM";"Yemen";"2016";"4";"Yemen's laws do not directly uphold community land rights in formally protected areas."
"LMM-LSIC-10CL";"X - Land Rights in protected areas - Community Lands";"ZAF";"South Africa";"2016";"1";"Any land may be subject to restitution orders including Protected Areas. Provision for this in National Forests Act. PA may only be declared on community land with its consent."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"AGO";"Angola";"2015";"3";"PA cannot be part of community domain, and no occupation or use permitted, except in 'partial reserves' (excluding forest). Per cent of revenue for adjacent communities."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"ARG";"Argentina";"2015";"4";"Federal legislation is silent on whether indigenous groups/communities have rights in protected areas."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"AUS";"Australia";"2015";"2";"No explicit ownership rights, but the law allows indigenous communities to apply for native in PAs and continue traditional use of areas within Commonwealth reserves for hunting, fishing or food-gathering or ceremonial and religious purposes."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"BFA";"Burkina Faso";"2015";"2";"Communities may establish & manage own protected areas and access national forests with provision for local forest committees as legal entities with management & use rights."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"BOL";"Bolivia";"2015";"1";"PIOC's land titling is possible on areas previously recognized as natural protected areas. Management is shared with the government and subject to the IP's customary rules."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"BRA";"Brazil";"2015";"2";"Extractive Reserves and Sustainable Development Reserves are categories where IPs can inhabit. Forest resource extraction for sustenance purposes is allowed. Relocation is needed if communities are located in other conservation categories."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"BWA";"Botswana";"2015";"3";"National Parks & most Wildlife Reserves are state property; no legal obligation to respect customary right. Individuals & entities may lease tribal land in Wildlife Management Area to obtain exclusive use rights."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"CAN";"Canada";"2015";"4";"Federal legislation is silent on whether indigenous communities have rights in protected areas. "
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"COD";"Democratic Republic of the Congo";"2015";"N/A";"N/A"
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"COL";"Colombia";"2015";"2";"Use of natural resources for traditional activities and general enjoyment are permitted and compatible with Protected Areas and Forest Reserves. State promotes community participation in management activities."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"DZA";"Algeria";"2015";"4";"No rights in National Parks available."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"GRL";"Greenland";"2015";"4";"Indigenous land rights are not explicitly recognized by Greenlandic law."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"IDN";"Indonesia";"2015";"3";"None of the laws assessed establish indigenous community ownership rights in protected areas.  However, indigenous communities can manage land within protected areas that is classified as traditional, religious, or particular zones."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"IND";"India";"2015";"2";"Scheduled Castes and traditional forest dwellers may protect, regenerate or conserve or manage any ""community forest resources"", which includes resources in protected areas. ""Community Forest Resource"" is defined broadly."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"KAZ";"Kazakhstan";"2015";"N/A";"Not applicable: National legislation applies only to non-indigenous communities."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"KEN";"Kenya";"2015";"3";"Where provision for community owned protected areas, communities have rights of management and use, but community cannot own national level or local government level protected area and may access only in accordance with rules or contracts. "
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"KHM";"Cambodia";"2015";"3";"The State recognizes secure access ""within and adjacent to"" protected areas for traditional uses, customs, etc. of indigenous communities, but the local communities may not claim title over land in protected areas."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"LSO";"Lesotho";"2015";"1"
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"MEX";"Mexico";"2015";"1";"Federal protected areas can contain land held under any tenure type and are divided into core zones and buffer zones. Buffer zones are designated for sustainable resource use, including use by ejidos/ comunidades. "
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"MNG";"Mongolia";"2015";"4";"The Law on Special Protected Area and the Law on Land recognize citizens' rights to use land within special protected areas, but there are no explicit rights in these areas granted to communities. "
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"MWI";"Malawi";"2015";"2";"Provision is made for protected forests on customary land with full use rights but with rules to be approved by Minister. Creation of Reserves on Public Land require prior compulsory acquisition from community (limited compensation where no developments)."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"MYS";"Malaysia";"2015";"4";"Federal legislation does not explicitly grant indigenous groups/communities rights in protected areas."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"NAM";"Namibia";"2015";"2";"Other than for Community Forests and Conservancies where use is by specific agreement with community, all use of Protected Areas is by licence."
"LMM-LSIC-10IP";"X - Land Rights in protected areas - Indigenous People";"PER";"Peru";"2015";"2";"Recognition of property and protection of traditional uses, self-determination and lifestyles. Limited to compatibility with the protected area's objectives."
