Landgrabbed	Landgrabber	Base	Sector	Hectares	Production	Projected investment	Status of deal	Summary
Argentina	AgroGeneration	France	Agribusiness	1,700	Crops		Done	AgroGeneration is a French farmland investment fund created by businessman Charles Beigbeder. It has 50,000 ha of farmland under lease in Ukraine and says it plans to double this amount by 2014. In 2011, the company said it was pursuing the acquisition of 50,000 ha of farmland in Argentina with an unnamed partner following the completion of trials on 700 ha. 
Argentina	Calyx Agro	France	Finance	5,719	Crops (mainly soybean)		Done	Calyx Agro was established by Louis Dreyfus Commodities as a fund to purchase and turn over farmland in the Southern Cone of Latin America. Other key investors are PineBridge Investments (subsidiary of the Hong Kong-based Pacific Century Group), TRG Management, Worldstar Ltd, Pictet Private Equity Investors and Solvia Investment Management. In 2011, the World Bank's International Finance Corporation rejected an application from Calyx Agro to finance its activities.
Argentina	Campos Orientales	France	Finance	19,000			Done	Campos Orientales is operated by Pergam Finance, a fund based in France, managed by Olivier Combastet. It acquires farms in the Southern Cone of Latin America, where it can convert pasture to soybean crops, and then, within a few years, sell the farms at a profit. 
Argentina	Terra Magna Capital	France	Finance	70,500	Crops		Done	Terra Magna Capital is a Luxembourg-based fund created by the farmland investment boutique Maera Capital of the UK and Massena Partners, a Paris and Geneva-based firm that manages investments for wealthy families. In November 2011, Terra Magna announced that after two years of looking it had decided to purchase 15 farms in Argentina, Brazil, Paraguay and Uruguay, covering a total area of 70,500 ha. The management of the farms will be handled by one of the region's largest farmland owners/operators -- MSU, the company of Argentine businessman Manuel Santos Uribelarrea. 
Argentina	DWS GALOF	Germany	Finance	20,000	Crops		Done	The DWS GALOF fund is offered by Deutsche Bank but the day-to-day management of the fund is delegated to Duxton Asset Management based in Singapore. It was launched in 2007, with a running time until 2016, and assets of €110 million. 
Argentina	Sojitz	Japan	Industrial	11,000	Soybeans and other crops		In process	In 2011, Japan's Sojitz Corporation established a subsidiary, Sojitz Buenas Tierra del Sur, to produce staple crops for export to Japan. It says it will consider expanding the area under cultivation to 200,000 ha in Argentina, Brazil and other South American countries by 2017, with state-backed Nippon Export and Investment Insurance providing risk insurance.
Argentina	Al-Khorayef Group	Saudi Arabia	Agribusiness	200,000	Crops		Done	In October 2010, in a meeting with the Governor of the Argentine Province of Chaco, Jorge Capitanich, Saudi Sheik Mohammed Al-Khorayef put forward a proposal for a large-scale project to produce food for export to Saudi Arabia. In February 2011, representatives of Al-Khorayef's family company signed an agreement with the Chaco government for a US$400-million agricultural project in which the company would be allocated rights over 200,000 ha of farmland in the El Impenetrable region of the province to produce crops for the Saudi market. Al-Khorayef is represented in Argentina by Siasa latinoamericana (SIASA), which is run by Daniel Tardito, CEO of Eduardo Eurnekian, one of the biggest landowners in the Chaco, with close connections to the current and former governors of the Province.
Argentina	Almarai Co	Saudi Arabia	Agribusiness	12,306	Maize, soybean	US$83 million	Done	Almarai, the largest dairy company in the Gulf, purchased the Argentine agribusiness company Fondomonte SA in December 2011 in order to secure lands owned by Fondomonte for the production of fodder crops to export to its farms in the Gulf. Almarai is part-owned by Savola, Saudi Arabia's largest food company, and it operates internationally through a joint venture with PepsiCo. It has large-scale dairy farms in Saudi Arabia, Jordan and Egypt, as well as several poultry farms in Saudi Arabia through its 2009 takeover of Saudi poultry producer HADCO. 
Argentina	Olam International	Singapore 	Agribusiness	17,000	Maize, peanuts and soybeans		Done	Olam is an Indian non-resident company, based in Singapore. It is one of the world's largest commodity traders and is investing heavily in farming operations and contract farming schemes, particularly in Africa and Latin America. Olam cultivates 12,000 ha of peanut farms and another 5,000 ha of soybeans and maize in Río Cuarto area in Córdoba province, Argentina. Olam says that it has plans to continue the increase in acreage and grow other crops such as wheat, soya and pulses, which could be exported to India.
Argentina	Korean Overseas Development Corporation 	South Korea	Government	20,894	Forest and pasture		Done	The Korean government's Overseas Development Corporation bought 21,000 ha of land in the Argentine pampas in 1978 for US$2,115,000. Korea planned to send 300 farmers to the area to build a Korean village, but the crops planted by the initial emigrants failed and the project never moved forward. In 2008, Chosun Ilbo reported that the Korea International Cooperation Agency was working to resurrect the project, developing the lands into pasture and forest.
Argentina	Adecoagro	US	Agribusiness	242,000	Cattle, dairy, grains, soybeans		Done	Adecoagro is a publicly traded company launched and controlled by the fund of US billionaire George Soros, with Dutch pension manager PGGM Investments also owning a major stake. As of December 2010, the company owned 287,884 ha of farmland in Argentina, Brazil and Uruguay, and it has 54,000 ha in Brazil for sugar-cane plantations and 74,000 ha on long-term leases in Brazil for grazing its cattle.
Argentina 	Siva Group	Singapore 	Agribusiness	2,000	Olives		Done	Siva Group is a company registered in Singapore that is owned by C. Sivasankaran, one of India's richest men. Since 2008, the Siva Group has been investing heavily in farmland, especially for palm-oil production in Africa. The 2,000-ha olive farm was acquired through Siva Group's subsidiary, the Sterling Group.
Australia	JBS	Brazil	Agribusiness	1,876	Livestock	US$40 million	Done	In 2007, Brazilian meat giant JBS acquired US-based Swift Food & Co., giving it control over ten meat plants and five feedlots in Australia. In 2010, the Australian Competition and Consumer Commission approved JBS' A$38-million purchase of a 53,000 cattle capacity feedlot, which included a feed mill, abattoir and around 2,000 ha of land.
Australia	Alberta Investment Management Company	Canada	Finance	252,000		US$415 million	Done	In 2011, the Alberta Investment Management Company (AIMCo), through a joint venture with Australia's New Forest, purchased 252,000 ha of land, covering a number of titles across several Australian states, from Great Southern Plantations. AIMCo, one of the largest pension fund managers in Canada, says that it expects to develop a mix of forestry and agricultural production on the lands.
Australia	Hancock	Canada	Finance	2,430	Grapes, nuts		Done	Hancock Agricultural Investment Group, a unit of Toronto-based Manulife Financial Corp., Canada’s largest insurer, manages US$1.4 billion in real estate, covering 93,000 ha of farmland in the US, as well as 2,400 ha in Australia and 400 ha in Canada. It also manages 240,453 ha of forest in New Zealand.
Australia	Beidahuang	China	Agribusiness	80,000	Dairy and grain farms		In process	State-owned Beidahuang is the largest farming company in China, managing over 2 million ha of farmland in the Province of Heilongjiang. Since 2008, the company has been expanding its farming operations overseas. It is in negotiations for large farmland deals in Argentina and the Philippines, and the Autralian Broadcasting Corporation reports that, in 2011, the company had made offers on a number of farms in Western Australia, amounting to about 80,000 ha of land to produce food for export to China.
Australia	Chinese interests	China		2,800	Cattle	US$6.4 million	Done	In December 2011, the Property Observer reported that Chinese investors had bought the 2,800-ha Mount Falcon Station, which runs sheep and cattle, from entrepreneur Sean Howard for A$6 million.
Australia	Nanshan Group	China	Industrial, real estate 	30,000	Superfine wool		In process	In January 2012, the Australian Financial Review reported that Nanshan Group, the 188th-largest enterprise in China, had made an offer for four sheep farms in New South Wales and Tasmania.
Australia	Nexis Holding	China	Construction	1,705	Cattle, nuts 	US$27 million	Done	Nexis Holdings is a Hong Kong-based company that converts waste materials into low-cost building materials for houses. In 2010, the company began buying farmland in Australia. It purchased a 50-ha macadamia farm for A$20 million on the Coast and then a 1,685-ha cattle operation near Kin Kin for A$25 million. The company’s founder and executive chairman is Walter Filler, a German who lived in Australia for more than 40 years.
Australia	Shaanxi Kingbull Livestock Co	China	Agribusiness	5,000	Cattle		In process	In January 2012, the Australian Financial Review reported that China's state-owned Shaanxi Kingbull Livestock Co. offered to buy a 5,000-ha cattle station in Australia as a stepping stone to importing 10,000 high-quality beef cattle and calves from Australia each year. Kingbull has more than 80 feedlots in China's Shaanxi Province, each holding between 300 and 1,000 cattle.
Australia	Ingleby Company	Denmark	Finance	18,170	Cattle, crops, sheep		Done	The Ingleby Company, which is owned by the Rausing family. has farmland investments in Argentina, Romania, USA, Uruguay, New Zealand and Australia. 
Australia	DWS GALOF	Germany	Finance	27,000	crops		Done	The DWS GALOF fund is offered by Deutsche Bank but the day-to-day management of the fund is delegated to Duxton Asset Management based in Singapore. It was launched in 2007, with a running time until 2016, and assets of €110 million. In Australia 31 properties were aggregated by GALOF into a farm of around 10,000 hectares.
Australia	JPT Capital Agrifund	Mauritius	Finance	33,000	Wheat	US$79 million 	Done	John Paul Thwaytes, a London City financial trader, runs JPT Capital out of Monaco. Recently JPT launched the JPT Capital Agrifund, based in Mauritius, to acquire and operate farms in Australia. In February 2011, Agrimoney reported that the fund had raised around £10 million and acquired 6 farms, covering 15,000 ha, with plans to acquire 30 farms when it has raised the £50m it is targeting. JPT plans to list the fund on the Dublin Stock Exchange and to exit fully from its acquisitions after 8-10 years.
Australia	Hassad Food	Qatar	Agribusiness	750,000	Sheep, wheat	US$400 million	Done	Hassad Food is a US$1-billion company established by Qatar's sovereign wealth fund. It has been leading the country's quest to secure farmland overseas for the export of food to Qatar. So far, Hassad Food has acquired 13 large farms in Australia for sheep and wheat production, which, according to Stock & Land, amount to 750,000 ha. It has also acquired 100,000 ha of land in Sudan. Hassad Food intends to double its investments in Australia, from US$200 to US$400 million, and negotiations are also under way for it to establish a company with US$100 million capital in Turkey for the production of sheep and cereals, a forage company in Brazil, and rice farms in Vietnam, Pakistan and India.
Australia	Wilmar International	Singapore 	Agribusiness	2,500	Sugar cane	US$1,876 million	Done	Wilmar, one of the world's largest agricultural commodity producers and traders, bought Sucrogen Ltd, wich owns 2,500 hectares of prime agricultural land in Queensland's Burdekin region in 2011. 
Australia	Ho Myoung Farm	South Korea	Industrial	216,000	Cattle, goats, sheep		Done	Ho Myoung Farm is owned by the Young An Group, a corporation controlled by Korean billionaire businessman and philanthropist Baik Sung-hak. Mr Baik made his fortune in the hat trade, accounting for about one third of the global market in baseball, cowboy and dress hats. His company started investing in farmland in New South Wales, Australia in 2010 and now owns around 216,000 ha.
Australia	Count Gustav Wachmeister	Sweden	Finance	15,700	livestock, cereal	US$21 million	Done	In January 2010, Count Carl Gustav Wachmeister of Sweden purchased Mount Elephant Station, a 15,700-ha livestock farm in Victoria State, Australia for A$20 million.
Australia	Mitr Phol Group	Thailand	Agribusiness	6,000	Sugar cane	US$336 million	In process	In November 2011, Thai sugar giant Mitr Phol offered to acquire MSF Sugar, which would give it control of four Queensland sugar mills and more than 6,000 ha of agricultural land and other infrastructure assets.  Mitr Phol is Asia’s largest sugar producer and among the six biggest in the world, with operations in Thailand, Laos and China.
Australia	MHPF	UK	Finance	47,100	Cereals, livestock, sugar cane	US$136 million	Done	The private UK-based pension fund of billionaire Michael Hintze, MHPF, has purchased 11 rural properties in New South Wales for a total of A$127 million since 2007. The 11 farms cover 47,100 ha and produce livestock, winter crops and sugar cane. The Hintze portfolio has been accumulated and managed by Richard Taylor, a director of Growth Farms Australia. 
Australia	Southern Agricultural Resources	UK	Finance	100,000	Cotton, wheat	US$400 million	In process	The UK-based Southern Agricultural Resources fund was launched in 2010 to acquire wheat and cotton farms in Australia. In December 2011, the Australian Financial Review reported that the fund had already identified 24 properties to be purchased covering more than 100,000 ha. The fund stated that it planned to raise £10 million by October 2011 to purchase its first farm, and £100 million by the second half of 2012 to acquire more farms. The fund's eventual target is US$400 million. The farms will be managed by Australian company Customised Farm Management, which manages farms for US pension-fund manager TIAA-CREF. The fund’s chairman is David Montgomery, former chair of the Australian Cotton Industry Council, and its non-executive director is Derek Shaw, a board member and shareholder of MP Evans, which owns large areas of oil-palm plantations in Indonesia and pastoral lands in Australia. 
Australia	Terra Firma Capital	UK	Finance	3,200,000	Livestock	US$456 million	Done	In 2009, British private equity company Terra Firma Capital purchased 90% of the Consolidated Pastoral Company for A$425 million, giving it control over approximately 2.6 million ha in Queensland. It purchased a further 600,000 ha in 2009–10. 
Australia	Jim Rogers Fund	US	Finance	80,000		US$375 million	In process	The Jim Rogers Fund is reported to have identified 16 properties for acquisition, covering 80,000 ha.The fund, which seeks to raise US$375 million, will be opened first to Australian investors and then to foreign groups.
Australia	Teachers Insurance and Annuity Association - College Retirement Equities Fund (TIAA-CREF)	US	Finance	73,000		US$16.7 million	Done	US pension-fund manager TIAA-CREF has around US$2 billion invested in farmland globally, of the US$426 billion that it has under management. Through its acquisition of 85% of the Westchester Group in 2010, TIAA-CREF boosted it ownership of farmland in Australia to 180,000 ha, which it holds through Westchester Group's US$300-million International Agricultural Investors Fund. TIAA-CREF's farms in Australia are managed by the Australian company Customised Farm Management.
Australia	Black River Asset Management	US 	Finance	2,100	Grain	US$5 million	Done	Black River, a hedge fund owned by US agribusiness giant Cargill, is targeting farmland acquisitions, mainly in South America and Asia. In August 2011, the Sydney Morning Herald reported that Black River's subsidiary BFB Pty Ltd was buying a 2,100-ha grain farm in the Bland shire, Australia.  
Benin	"Chinese investment group"	China		10,000	Oil palm		In process	In July 2010, ANA reported that the Chinese ambassador to Benin, Geng Wenbing, had announced that a group of Chinese businessmen, having completed as assessment of local conditions, were planning to invest in palm-oil production in Benin and would immediately require at least 10,000 ha of land to begin the development of oil-palm plantations.
Benin	COMPLANT	China	Agribusiness, construction 	4,800	Cassava, sugar cane		In process	The China National Complete Import and Export Corporation Group (COMPLANT) functioned as a foreign-aid office for China until 1993, and while it now trades on the Shenzhen Stock Exchange, its controlling shareholder is the State Development & Investment Corporation, the largest state-owned investment holding company in China. The company is involved in a number of construction and infrastructure projects overseas and several agricultural projects. In 2010, COMPLANT's subsidiary Hua Lien International announced plans to establish a joint venture with COMPLANT and the US$5-billion China-Africa Development Fund to set up ethanol projects in various African countries. The three companies plan to launch the venture in Benin and roll out to other countries in the coming years. The venture will draw on COMPLANT's numerous recent investments in sugar-cane and cassava production, including an 18,000-ha sugar-cane plantation in Jamaica, a proposed 4,800-ha sugar-cane and cassava venture in Benin, a 1,320-ha sugar-cane plantation and factory in Sierra Leone, where in 2006 it also announced plans to expand its holdings to 8,100 ha to begin production of cassava. In Madagascar COMPLANT has been running the SUCOMA sugar factory since 1997 and, in 2008, under a twenty-year management contract, it took over the state-owned sugar refinery SUCOCOMA, giving it control over 10,000 ha for sugar-cane production. 
Benin	Green Waves	Italy	Finance	250,000	Sunflower		Done	In August 2007, Le Matinal reported that the Italian company Green Waves was given the authorisation and the support of the Government of Benin to produce sunflower on 250,000 ha in Ouèssè, Benin.
Benin	Libyan investors 	Libya		2,000			In process	According to a 2010 report by Benin's farmers organisation Synergie Paysanne, a group of Libyan investors acquired 2,000 ha of land in Zakpota.
Benin	BETEXCO	Nigeria	Energy	1,500	Cassava		Done	According to a 2010 report by Benin's farmers organisation Synergie Paysanne, the Nigerian company BETEXCO acquired 1,500 ha of land in Zogbodomey for cassava production.
Bolivia	Cresud	Argentina	Agribusiness	17,000	Soybean		Done	Cresud was a small farmland operator managing 20,000 ha when it was taken over by George Soros and Argentinian real-estate tycoon Eduardo Elsztain in the 1990s. Within a few years, the company grew to control nearly half a million ha in Argentina. After Soros sold his shares in the company in 1999, Elsztain continued to expand its landholdings. By 2011, Cresud was Argentina's largest landholder, controlling over 628,000 ha, on which it produces mainly soybeans and cattle, as well as lands in neighbouring countries. Cresud controls 17,000 ha in Bolivia, 142,000 ha in Paraguay, and 175,000 ha in Brazil through its controlling interest in farmland operator BrasilAgro. Added up, Cresud's farmland bank stands at 962,000 ha. Elsztain typically finances Cresud's expansions through share sales on the Nasdaq. But it's also finding new sources of cash. In June 2011, it inked a deal for a joint venture with China's largest farming company, Heilongjiang Beidahuang Nongken Group, to buy land in Argentina and farm soybeans for the Group.
Bolivia	Pengxin Group	China	Real estate	12,500	Maize, soybean		Done	Shanghai real-estate mogul Jiang Zhaobai, Chairman and owner of the Penxin Group, has been investing heavily in farmland over the past few years. In China, it acquired 650 ha of farmland near Shanghai, used for sheep, wheat and soybeans, and has another 930-ha sheep farm in Shandong Province. Outside China, the company invested more than US$20 million in a Bolivian soybean and maize farm, established large-scale farms in Cambodia and Argentina, and is negotiating to buy 200,000 ha of land in Brazil to grow soybeans and cotton. In January 2011, it made an offer to buy Crafar farms in New Zealand, which encompasses 16 dairy farms, following an unsuccessful bid by China’s Natural Dairy (NZ) Holdings Ltd. The sale was approved by New Zealand's government in January 2012.
Brazil	Cresud	Argentina	Agribusiness	175,000	Cattle, crops, sugar cane		Done	Cresud was a small farmland operator managing 20,000 ha when it was taken over by George Soros and Argentinian real estate tycoon Eduardo Elsztain in the 1990s. Within a few years, the company grew to control nearly half a million ha in Argentina. After Soros sold his shares in the company in 1999, Elsztain continued to expand its landholdings. By 2011, Cresud was Argentina's largest landholder, controlling over 628,000 ha, on which it produces mainly soybeans and cattle, as well as lands in neighbouring countries. Cresud controls 17,000 ha in Bolivia, 142,000 ha in Paraguay, and 175,000 ha in Brazil through its controlling interest in farmland operator BrasilAgro. Added up, Cresud's farmland bank stands at 962,000 ha. Elsztain typically finances Cresud's expansions through share sales on the Nasdaq. But it's also finding new sources of cash. In June 2011, it inked a deal for a joint venture with China's largest farming company, Heilongjiang Beidahuang Nongken Group, to buy land in Argentina and farm soybeans for the Group.
Brazil	El Tejar	Argentina	Agribusiness	220,000	Cereals, oilseeds		Done	El Tejar began as an association of Argentine cattle farmers in the 1980s, but then became involved in grain production in the 1990s. By the end of the decade it was one of the largest soybean producers in the country, farming on rented land. After 2006, foreign investors entered the company, such as London-based hedge fund Altima Partners, which now owns 40% of the company, the World Bank's International Finance Corporation and US private equity firm Capital Group, and El Tejar started to acquire its own farms in Argentina, Uruguay and Brazil, where it is now the largest farm operator. In 2006, El Tejar was farming around 200,000 ha, and today they are farming close to 800,000 ha. The company intends to launch an IPO on New York or São Paulo stock exchanges to access more capital to expand its landholdings.
Brazil	Los Grobo	Argentina	Agribusiness	60,000	Soybeans		Done	Los Grobo is owned by Argentina's Grobocopatel family, the second-largest soybean producer in the country, with over 120,000 ha under production. The company has recently focused on expansion in other Latin American countries, such as Uruguay, with soybeans planted on 76,300 ha, and Paraguay, where it plants soybeans on 22,000 ha. In Brazil, Los Grobo had 60,000 ha under production by 2011, and says it plans to triple its land holdings over the next few years by way of a joint venture company called LG Agro, formed in 2011 with Brazil’s Grupo Vinci Partners. In August 2011, Los Grobo's Brazilian subsidiaries were merged into LG Agro, along with Sollus Capital, a farmland fund in which Los Grobo is active, and Grupo Vinci's Companhia Mineira de Açúcar e Álcool, a major sugar and ethanol producer in Brazil.
Brazil	Brookfield Asset Management	Canada	Finance	97,124	Crops		Done	Brookfield Asset Management is a Canadian fund manager that invests in farmland in Brazil through its US$330-million Brookfield Brazil Agriland Fund.
Brazil	Chongqing Grain Group	China	Agribusiness	200,000	Soybean	US$879 million	In process	Chongqing Grain Group is one of China's largest state-owned grain corporations. In April 2010, the company announced plans for a US$300-million soybean project in Bahia, Brazil that would include infrastructure construction and control over 100,000 ha of land, with option to expand to 200,000 ha. Brazilian authorities publicly denied that the deal involved the transfer of lands, but, in February 2011, Huang Qifan, the mayor of Chongqing, in an interview with state TV channel CCTV, reiterated that the company had been allocated the land and that the project would be managed by a joint venture company 70% owned by Chongqing Grain and 30% by Brazilian investors, with partnerships worked out with local producers. He also said that the company would invest US$879 million in the project, with much of this being provided by the Development Bank of China. Chongqing's Brazilian project is part of an overall US$3.4-billion plan the company has to outsource food production overseas. In April 2011, it said that, apart from soybean production in Brazil, it would pursue the production of oilseed rape in Canada and Australia, rice in Cambodia and palm oil in Malaysia.
Brazil	Pengxin Group	China	Real estate	200,000	Cotton, soybean		In process	Shanghai real-estate mogul Jiang Zhaobai, Chairman and owner of the Penxin Group, has been investing heavily in farmland over the past few years. In China, it acquired 650 ha of farmland near Shanghai, used for sheep, wheat and soybeans, and has another 930-ha sheep farm in Shandong Province. Outside China, the company invested more than US$20 million in a Bolivian soybean and maize farm, established large-scale farms in Cambodia and Argentina, and is negotiating to buy 200,000 ha of land in Brazil to grow soybeans and cotton. in January 2011, it made an offer to buy Crafar farms in New Zealand, which encompasses 16 dairy farms, following an unsuccessful bid by China’s Natural Dairy (NZ) Holdings Ltd. The sale was approved by New Zealand's government in January 2012.
Brazil	Calyx Agro	France	Finance	61,352	Crops (mainly soybean)		Done	Calyx Agro was established by Louis Dreyfus Commodities as a fund to purchase and turn over farmland in the Southern Cone of Latin America. Other key investors are PineBridge Investments (subsidiary of the Hong-Kong-based Pacific Century Group), TRG Management, Worldstar Ltd, Pictet Private Equity Investors and Solvia Investment Management. In 2011, the World Bank's International Finance Corporation rejected an application from Calyx Agro to finance its activities.
Brazil	Louis Dreyfus	France	Agribusiness	329,000	Sugar cane		Done	Louis Dreyfus, a privately owned French company, is one of the largest agricultural commodity traders in the world, and one of the world's largest sugar producers. In October 2009, LDC Bioenergia of Louis Dreyfus Commodities merged with Santelisa Vale, a major Brazilian sugar-cane production and processing company, to form LDC-SEV, with Louis Dreyfus holding 60% of the company. Through the deal, Louis Dreyfus now controls 329,000 ha of sugar-cane plantations in Brazil
Brazil	Aquila	Germany	Finance	250,000	Cattle, sugar cane		In process	Aquila Capital's AgrarInvest fund manages investments for around 1,000 German investors. The fund focuses on the acquisition of dairy farms in New Zealand and cattle farms and sugar-cane planations in Brazil. In Brazil, Aquila is pursuing investments in Proterra Agropecuária, a ranch of 6,500 cattle managed by the New Zealand company AgInvest, and sugar-cane company Proterra, which has sugar-cane plantations on around 250,000 ha. 
Brazil	Shree Renuka Sugars	India	Agribusiness	133,000	Sugar cane	US$569 million	Done	In November 2010, Shree Renuka Sugars, India's largest sugar refiner, acquired Brazilian sugar company Vale do Ivai SA Açúcar e Álcool for US$240 million, including its 18,000-ha sugar-cane plantation, and a 51% stake in another Brazilian sugar company, Equipav SA Açúcar e Álcool for US$329 million, including its 115,000 ha of cane-growing land in south-eastern Brazil.
Brazil	Mitsui	Japan	Industrial	100,000	Cotton, maize, soybean		Done	In May 2011, Mitsui bought Swiss-based Multigrain AG. Multigrain, through its subsidiary XinguAgri, owns over 100,000 ha of farmland in the states of Maranhão, Minas Gerais and Bahia, where it produces soybeans, cotton and maize predominantly for export.
Brazil	Fonterra	New Zealand 	Agribusiness	850	Dairy farm		Done	New Zealand dairy cooperative Fonterra is the world's largest producer of milk. Over the past few years it has begun to establish large-scale dairy farms overseas, in China, India and Brazil. In May 2011, it announced that it had purchased an 850-ha dairy farm in Goiás State, Brazil, where it would establish a pilot farm with a view to developing its own production base in the country..
Brazil	Prio Foods	Portugal	Agribusiness	29,528	Soybean		Done	In 2005, Prio Foods, a subsidiary of Grupo Martifer, began investing in farmland as a way to secure supplies for its food operations. It currently operates farms in Brazil, Romania and Mozambique. In Brazil, it cultivates mainly soybean on nearly 30,000 ha, with plans to acquire a further 13,900 ha.
Brazil	Hyundai	South Korea	Industrial	10,000	Soybean		In process	Hyundai is one of several South Korean transnational corporations that are pursuing overseas farmland acquisitions for the production of food crops to export to South Korea. In Brazil, Hyundai is looking for farmland in various states to cultivate soybeans.
Brazil	Clean Energy Brazil	UK 	Agribusiness	30,000	Sugar cane		Done	Clean Energy Brazil is an investment company based in the UK and registered in the Cayman Islands that was launched in 2006 by London financial house Numis and Mexican sugar trader Czarnikow, with over US$100 million in committed funds to invest in Brazilian sugar-cane production and processing. Through the acquisition of several Brazilian sugar-cane companies, it has acquired and leased lands for sugar-cane plantations that, when put into production, will cover more than 30,000 ha.
Brazil	Adecoagro	US	Agribusiness	165,000	Cattle, cofee, grains, soybeans, sugar cane		Done	Adecoagro is a publicly traded company launched and controlled by the fund of US billionaire George Soros, with Dutch pension-fund manager PGGM Investments also owning a major stake. As of December 2010, the company owned 287,884 ha of farmland in Argentina, Brazil and Uruguay, and it has 54,000 ha in Brazil for sugar-cane plantations and 74,000 ha on long-term leases in Brazil for grazing its cattle.
